"complains","seconds_of_use","frequency_of_use","customer_value","distinct_called_numbers","status","churn"
"no complaint",1735,48,999.32,17,"active","non-churn"
"no complaint",1988,51,134.085,74,"active","non-churn"
"no complaint",1120,37,242.28,13,"non-active","non-churn"
"no complaint",1245,22,181.675,9,"non-active","non-churn"
"no complaint",1645,44,337.005,19,"active","non-churn"
"no complaint",3645,73,210.45,29,"active","non-churn"
"no complaint",2115,38,354.12,20,"active","non-churn"
"no complaint",6813,153,871.47,48,"active","non-churn"
"no complaint",9353,183,311.04,46,"active","non-churn"
"no complaint",3273,57,258.25,25,"active","non-churn"
"no complaint",4810,52,1210.48,16,"active","non-churn"
"complaint",1908,31,233.56,13,"active","churn"
"no complaint",4560,71,239.895,15,"active","non-churn"
"no complaint",305,6,45.495,2,"non-active","non-churn"
"no complaint",2643,60,1624.635,22,"active","non-churn"
"no complaint",4388,66,283.47,33,"active","non-churn"
"no complaint",2583,58,183.755,31,"active","non-churn"
"no complaint",3965,82,189.88,26,"active","non-churn"
"no complaint",2550,39,1143.56,16,"active","non-churn"
"no complaint",9305,121,853.04,41,"active","non-churn"
"no complaint",13963,169,593.28,42,"active","non-churn"
"no complaint",4705,83,219.52,23,"active","non-churn"
"no complaint",6108,95,310.635,10,"active","non-churn"
"complaint",2428,54,127.28,15,"non-active","non-churn"
"no complaint",15330,225,738.2,30,"active","non-churn"
"no complaint",3285,27,1964.48,6,"active","non-churn"
"no complaint",15675,182,1276.065,28,"active","non-churn"
"no complaint",6690,86,915.04,24,"active","non-churn"
"no complaint",1065,14,80.055,9,"non-active","non-churn"
"no complaint",900,14,72.63,6,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7698,127,1967.625,41,"active","non-churn"
"no complaint",11655,154,500.36,45,"active","non-churn"
"no complaint",6908,75,687.735,35,"active","non-churn"
"complaint",1145,47,85.14,15,"non-active","churn"
"no complaint",10625,93,285.45,40,"active","non-churn"
"no complaint",6008,98,306.27,22,"active","churn"
"no complaint",3030,22,150.08,12,"active","non-churn"
"no complaint",3180,41,156.84,14,"non-active","churn"
"no complaint",2458,44,136.08,29,"non-active","churn"
"complaint",305,6,40.44,2,"non-active","churn"
"no complaint",1858,25,103.32,4,"active","non-churn"
"no complaint",6975,97,194.3,20,"active","non-churn"
"no complaint",818,7,38.125,2,"non-active","churn"
"no complaint",305,6,15.165,2,"active","non-churn"
"no complaint",16265,238,774.135,78,"active","non-churn"
"no complaint",7155,116,1434.195,31,"active","non-churn"
"no complaint",3908,82,211.05,26,"active","non-churn"
"no complaint",1855,44,127.96,18,"non-active","non-churn"
"no complaint",2970,53,811.035,21,"active","non-churn"
"no complaint",1505,36,825.345,9,"active","non-churn"
"no complaint",1758,39,62.425,66,"active","non-churn"
"no complaint",890,25,72.675,5,"non-active","non-churn"
"no complaint",1015,10,43.125,2,"non-active","non-churn"
"no complaint",1415,32,96.615,11,"active","non-churn"
"no complaint",3415,61,167.04,21,"active","non-churn"
"no complaint",1885,26,117.495,12,"active","non-churn"
"no complaint",6583,141,699.82,40,"active","non-churn"
"no complaint",9123,171,352.35,38,"active","non-churn"
"no complaint",3043,45,151.52,17,"active","non-churn"
"no complaint",4580,40,944.8,8,"active","non-churn"
"no complaint",1678,19,95.88,5,"active","churn"
"no complaint",4865,78,281.72,22,"active","non-churn"
"no complaint",813,12,125,9,"non-active","non-churn"
"no complaint",2948,67,1620.6,29,"active","non-churn"
"no complaint",4693,73,355.63,40,"active","non-churn"
"no complaint",2888,65,213.885,38,"active","non-churn"
"no complaint",4270,89,366.36,33,"active","non-churn"
"no complaint",2855,46,1320.04,23,"active","non-churn"
"no complaint",9610,128,1029.52,48,"active","non-churn"
"no complaint",14268,176,641.76,49,"active","non-churn"
"no complaint",5010,90,276,30,"active","non-churn"
"no complaint",6413,102,352.6,17,"active","non-churn"
"no complaint",2733,61,207.76,22,"non-active","non-churn"
"complaint",15635,232,914.68,37,"active","non-churn"
"no complaint",3590,34,2140.96,13,"active","non-churn"
"no complaint",15980,189,1474.605,35,"active","non-churn"
"no complaint",6995,93,1091.52,31,"active","non-churn"
"no complaint",1370,21,134.595,16,"non-active","non-churn"
"no complaint",1205,21,165.04,13,"non-active","non-churn"
"no complaint",495,7,94.59,5,"non-active","churn"
"no complaint",8003,134,1925.48,48,"active","non-churn"
"no complaint",11960,161,370.525,52,"active","non-churn"
"no complaint",7213,82,886.275,42,"active","non-churn"
"complaint",1450,54,188.16,22,"non-active","churn"
"no complaint",10930,100,190.95,47,"active","non-churn"
"no complaint",6313,105,477.81,29,"active","non-churn"
"no complaint",3335,29,198.56,19,"active","non-churn"
"complaint",3485,48,241.32,21,"non-active","churn"
"complaint",2763,51,195.35,36,"non-active","churn"
"no complaint",628,9,89.48,7,"non-active","churn"
"no complaint",2163,32,94.875,11,"active","non-churn"
"no complaint",7280,104,155.76,27,"active","non-churn"
"no complaint",1123,14,90.925,9,"non-active","churn"
"no complaint",833,11,42.66,7,"active","non-churn"
"no complaint",16570,245,828.675,85,"active","non-churn"
"no complaint",7460,123,1451.32,38,"active","non-churn"
"no complaint",4213,89,244.08,33,"active","non-churn"
"no complaint",2160,51,304.44,25,"non-active","non-churn"
"no complaint",3275,60,1009.575,28,"active","non-churn"
"no complaint",1810,43,910.12,16,"active","non-churn"
"no complaint",2063,46,100.635,73,"active","non-churn"
"no complaint",1195,32,153.08,12,"non-active","non-churn"
"no complaint",1320,17,125.925,8,"non-active","non-churn"
"no complaint",1720,39,236.655,18,"active","non-churn"
"no complaint",3720,68,247.52,28,"active","non-churn"
"no complaint",2190,33,264.92,19,"active","non-churn"
"no complaint",6887,148,771.075,47,"active","non-churn"
"no complaint",9427,178,277.575,45,"active","non-churn"
"no complaint",3347,52,323.96,24,"active","non-churn"
"no complaint",4885,47,1121.28,15,"active","non-churn"
"complaint",1982,26,144.32,12,"active","churn"
"no complaint",4485,76,194.44,16,"active","non-churn"
"no complaint",433,10,37.72,3,"non-active","non-churn"
"no complaint",2568,65,1533.32,23,"active","non-churn"
"no complaint",4313,71,241.12,34,"active","non-churn"
"no complaint",2508,63,115.695,32,"active","non-churn"
"no complaint",3890,87,279.08,27,"active","non-churn"
"no complaint",2475,44,1232.76,17,"active","non-churn"
"no complaint",9230,126,942.24,42,"active","non-churn"
"no complaint",13888,174,562.48,43,"active","non-churn"
"no complaint",4630,88,188.72,24,"active","non-churn"
"no complaint",6033,100,265.32,11,"active","non-churn"
"complaint",2353,59,120.48,16,"non-active","non-churn"
"no complaint",15255,230,827.4,31,"active","non-churn"
"no complaint",3210,32,2053.68,7,"active","non-churn"
"no complaint",15600,187,1376.415,29,"active","non-churn"
"no complaint",6615,91,1004.24,25,"active","non-churn"
"no complaint",990,19,45.405,10,"non-active","non-churn"
"no complaint",825,19,77.76,7,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7623,132,1838.2,42,"active","non-churn"
"no complaint",11580,159,315.975,46,"active","non-churn"
"no complaint",6833,80,788.085,36,"active","non-churn"
"complaint",1070,52,100.88,16,"non-active","churn"
"no complaint",10550,98,159.72,41,"active","non-churn"
"no complaint",5933,103,379.62,23,"active","non-churn"
"no complaint",2955,27,119.28,13,"active","non-churn"
"no complaint",3105,46,154.04,15,"non-active","churn"
"no complaint",2383,49,140.8,30,"non-active","churn"
"no complaint",248,7,10.2,1,"non-active","churn"
"no complaint",1783,30,45.325,5,"active","non-churn"
"no complaint",6900,102,123.03,21,"active","non-churn"
"no complaint",743,12,36.375,3,"non-active","churn"
"no complaint",453,9,9.93,1,"active","non-churn"
"no complaint",16190,243,739.485,79,"active","non-churn"
"no complaint",7080,121,1364.04,32,"active","non-churn"
"no complaint",3833,87,156.8,27,"active","non-churn"
"no complaint",1780,49,217.16,19,"non-active","non-churn"
"no complaint",2895,58,911.385,22,"active","non-churn"
"no complaint",1430,41,822.84,10,"active","non-churn"
"no complaint",1683,44,67.905,67,"active","non-churn"
"no complaint",815,30,65.8,6,"non-active","non-churn"
"no complaint",940,15,71.375,2,"non-active","non-churn"
"no complaint",1340,37,138.465,12,"active","non-churn"
"no complaint",3340,66,160.24,22,"active","non-churn"
"no complaint",1810,31,177.64,13,"active","non-churn"
"no complaint",6507,146,672.885,41,"active","non-churn"
"no complaint",9047,176,244.845,39,"active","non-churn"
"no complaint",2967,50,236.68,18,"active","non-churn"
"no complaint",4505,45,1034,9,"active","non-churn"
"complaint",1602,24,65.04,6,"active","churn"
"no complaint",4675,71,231.57,18,"active","non-churn"
"no complaint",623,5,55.26,5,"non-active","non-churn"
"no complaint",2758,60,1737.81,25,"active","non-churn"
"no complaint",4503,66,251.295,36,"active","non-churn"
"no complaint",2698,58,157.08,34,"active","non-churn"
"no complaint",4080,82,290.48,29,"active","non-churn"
"no complaint",2665,39,1244.16,19,"active","non-churn"
"no complaint",9420,121,953.64,44,"active","non-churn"
"no complaint",14078,169,569.88,45,"active","non-churn"
"no complaint",4820,83,200.12,26,"active","non-churn"
"no complaint",6223,95,311.31,13,"active","non-churn"
"no complaint",2543,54,131.88,18,"non-active","non-churn"
"no complaint",15445,225,838.8,33,"active","non-churn"
"no complaint",3400,27,2065.08,9,"active","non-churn"
"no complaint",15790,182,1389.24,31,"active","non-churn"
"no complaint",6805,86,1015.64,27,"active","non-churn"
"no complaint",1180,14,53.73,12,"non-active","non-churn"
"no complaint",1015,14,100.305,9,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7813,127,2080.8,44,"active","non-churn"
"no complaint",11770,154,516.96,48,"active","non-churn"
"no complaint",7023,75,800.91,38,"active","non-churn"
"complaint",1260,47,126.315,18,"non-active","churn"
"no complaint",10740,93,270.825,43,"active","non-churn"
"no complaint",6123,98,392.445,25,"active","churn"
"no complaint",3145,22,126.68,15,"active","non-churn"
"complaint",3295,41,165.44,17,"non-active","churn"
"no complaint",2573,44,236.68,32,"non-active","churn"
"no complaint",438,2,17.6,3,"non-active","churn"
"no complaint",1973,25,79.92,7,"active","non-churn"
"no complaint",7090,97,212.175,23,"active","non-churn"
"no complaint",933,7,43.5,5,"non-active","churn"
"no complaint",643,4,14.205,3,"active","non-churn"
"no complaint",16380,238,747.81,81,"active","non-churn"
"no complaint",7270,116,1547.37,34,"active","non-churn"
"no complaint",4023,82,189.225,29,"active","non-churn"
"no complaint",1970,44,228.56,21,"non-active","non-churn"
"no complaint",3085,53,924.21,24,"active","non-churn"
"no complaint",1620,36,938.52,12,"active","non-churn"
"no complaint",1873,39,120.3,69,"active","non-churn"
"no complaint",1005,25,86.85,8,"non-active","non-churn"
"no complaint",1130,10,78.5,4,"non-active","non-churn"
"no complaint",1530,32,151.29,14,"active","non-churn"
"no complaint",3530,61,171.64,24,"active","non-churn"
"no complaint",2000,26,212.67,15,"active","non-churn"
"no complaint",6697,141,838.09,43,"active","non-churn"
"no complaint",9237,171,415.2,41,"active","non-churn"
"no complaint",3157,45,248.08,20,"active","non-churn"
"no complaint",4695,40,1045.4,11,"active","non-churn"
"no complaint",1792,19,72.44,8,"active","churn"
"no complaint",4675,83,270.32,20,"active","non-churn"
"no complaint",623,17,113.6,7,"non-active","non-churn"
"no complaint",2758,72,1609.2,27,"active","non-churn"
"no complaint",4503,78,339.955,38,"active","non-churn"
"no complaint",2698,70,201.06,36,"active","non-churn"
"no complaint",4080,94,354.96,31,"active","non-churn"
"no complaint",2665,51,817.9,21,"active","non-churn"
"no complaint",9420,133,1018.12,46,"active","non-churn"
"no complaint",14078,181,630.36,47,"active","non-churn"
"no complaint",4820,95,165.375,28,"active","non-churn"
"no complaint",6223,107,341.2,15,"active","non-churn"
"no complaint",2543,66,122.725,20,"non-active","non-churn"
"no complaint",15445,237,903.28,35,"active","non-churn"
"no complaint",3400,39,1330.975,11,"active","non-churn"
"no complaint",15790,194,1299.36,33,"active","non-churn"
"no complaint",6805,98,675.075,29,"active","non-churn"
"no complaint",1180,26,108.24,14,"non-active","non-churn"
"no complaint",1015,26,153.64,11,"non-active","non-churn"
"no complaint",305,12,72.68,3,"non-active","churn"
"no complaint",7813,139,1914.08,46,"active","non-churn"
"no complaint",11770,166,363.4,50,"active","non-churn"
"no complaint",7023,87,776.4,40,"active","non-churn"
"complaint",1260,59,176.76,20,"non-active","churn"
"no complaint",10740,105,186.675,45,"active","non-churn"
"no complaint",6123,110,413.32,27,"active","non-churn"
"no complaint",3145,34,116.975,17,"active","non-churn"
"complaint",3295,53,229.92,19,"non-active","churn"
"complaint",2573,56,188.225,34,"non-active","churn"
"no complaint",438,14,78.08,5,"non-active","churn"
"no complaint",1973,37,87.75,9,"active","non-churn"
"no complaint",7090,109,151.485,25,"active","non-churn"
"no complaint",933,19,83.8,7,"non-active","churn"
"no complaint",643,16,38.385,5,"active","non-churn"
"no complaint",16380,250,815.85,83,"active","non-churn"
"no complaint",7270,128,1439.92,36,"active","non-churn"
"no complaint",4023,94,232.68,31,"active","non-churn"
"no complaint",1970,56,183.15,23,"non-active","non-churn"
"no complaint",3085,65,886,26,"active","non-churn"
"no complaint",1620,48,898.72,14,"active","non-churn"
"no complaint",1873,51,96.36,71,"active","non-churn"
"no complaint",1005,37,141.68,10,"non-active","non-churn"
"no complaint",1130,22,118.8,6,"non-active","non-churn"
"no complaint",1530,44,223.83,16,"active","non-churn"
"no complaint",3530,73,147.575,26,"active","non-churn"
"no complaint",2000,38,253.52,17,"active","non-churn"
"no complaint",6697,153,758.25,45,"active","non-churn"
"no complaint",9237,183,273.3,43,"active","non-churn"
"no complaint",3157,57,195.35,22,"active","non-churn"
"no complaint",4695,52,1109.88,13,"active","non-churn"
"no complaint",1792,31,132.92,10,"active","churn"
"no complaint",5385,88,366.92,19,"active","non-churn"
"no complaint",1333,22,142.2,6,"non-active","non-churn"
"no complaint",3468,77,1637.8,26,"active","non-churn"
"no complaint",5213,83,379.28,37,"active","non-churn"
"no complaint",3408,75,233.235,35,"active","non-churn"
"no complaint",4790,99,383.56,30,"active","non-churn"
"no complaint",3375,56,835.775,20,"active","non-churn"
"no complaint",10130,138,1046.72,45,"active","non-churn"
"no complaint",14788,186,658.96,46,"active","non-churn"
"no complaint",5530,100,183.25,27,"active","non-churn"
"no complaint",6933,112,369.8,14,"active","non-churn"
"no complaint",3253,71,140.6,19,"non-active","non-churn"
"no complaint",16155,242,931.88,34,"active","non-churn"
"no complaint",4110,44,1348.85,10,"active","non-churn"
"no complaint",16500,199,1493.955,32,"active","non-churn"
"no complaint",7515,103,1108.72,28,"active","non-churn"
"no complaint",1890,31,153.945,13,"non-active","non-churn"
"no complaint",1725,31,182.24,10,"non-active","non-churn"
"no complaint",1015,17,101.28,2,"non-active","churn"
"no complaint",8523,144,1942.68,45,"active","non-churn"
"no complaint",12480,171,381.275,49,"active","non-churn"
"no complaint",7733,92,905.625,39,"active","non-churn"
"complaint",1970,64,205.36,19,"non-active","churn"
"no complaint",11450,110,197.4,44,"active","non-churn"
"no complaint",6833,115,441.92,26,"active","non-churn"
"no complaint",3855,39,215.76,16,"active","non-churn"
"complaint",4005,58,258.52,18,"non-active","churn"
"complaint",3283,61,206.1,33,"non-active","churn"
"no complaint",1148,19,106.68,4,"non-active","churn"
"no complaint",2683,42,105.625,8,"active","non-churn"
"no complaint",7800,114,162.21,24,"active","non-churn"
"no complaint",1643,24,101.675,6,"non-active","churn"
"no complaint",1353,21,49.11,4,"active","non-churn"
"no complaint",17090,255,848.025,82,"active","non-churn"
"no complaint",7980,133,1468.52,35,"active","non-churn"
"no complaint",4733,99,261.28,30,"active","non-churn"
"no complaint",2680,61,201.025,22,"non-active","non-churn"
"no complaint",3795,70,1028.925,25,"active","non-churn"
"no complaint",2330,53,927.32,13,"active","non-churn"
"no complaint",2583,56,107.085,70,"active","non-churn"
"complaint",1715,42,170.28,9,"non-active","churn"
"no complaint",1840,27,136.675,5,"non-active","non-churn"
"no complaint",2240,49,256.005,15,"active","non-churn"
"no complaint",4240,78,264.72,25,"active","non-churn"
"no complaint",2710,43,282.12,16,"active","non-churn"
"no complaint",7407,158,790.425,44,"active","non-churn"
"no complaint",9947,188,284.025,42,"active","non-churn"
"no complaint",3867,62,341.16,21,"active","non-churn"
"no complaint",5405,57,1138.48,12,"active","non-churn"
"complaint",2502,36,161.52,9,"active","churn"
"no complaint",3965,66,161.24,19,"active","non-churn"
"no complaint",0,0,0,0,"non-active","non-churn"
"no complaint",2048,55,1448.12,26,"active","non-churn"
"no complaint",3793,61,211.97,37,"active","non-churn"
"no complaint",1988,53,91.845,35,"active","non-churn"
"no complaint",3370,77,193.88,30,"active","non-churn"
"no complaint",1955,34,1147.56,20,"active","non-churn"
"no complaint",8710,116,857.04,45,"active","non-churn"
"no complaint",13368,164,541.28,46,"active","non-churn"
"no complaint",4110,78,167.52,27,"active","non-churn"
"no complaint",5513,90,224.12,14,"active","non-churn"
"no complaint",1833,49,75.28,19,"non-active","non-churn"
"no complaint",14735,220,742.2,34,"active","non-churn"
"no complaint",2690,22,1968.48,10,"active","non-churn"
"no complaint",15080,177,1280.565,32,"active","non-churn"
"no complaint",6095,81,919.04,28,"active","non-churn"
"no complaint",470,9,21.555,13,"non-active","non-churn"
"no complaint",305,9,12.56,10,"non-active","non-churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",7103,122,1753,45,"active","non-churn"
"no complaint",11060,149,280.225,49,"active","non-churn"
"no complaint",6313,70,692.235,39,"active","non-churn"
"no complaint",550,42,23.68,19,"non-active","churn"
"no complaint",10030,88,151.77,44,"active","non-churn"
"no complaint",5413,93,283.77,26,"active","churn"
"no complaint",2435,17,98.08,16,"active","non-churn"
"complaint",2585,36,104.84,18,"non-active","churn"
"no complaint",1863,39,140.08,33,"non-active","churn"
"no complaint",0,0,0,0,"non-active","churn"
"no complaint",1263,20,32.075,8,"active","non-churn"
"no complaint",6380,92,97.08,24,"active","non-churn"
"no complaint",223,2,5.625,6,"non-active","churn"
"no complaint",0,0,0,0,"active","non-churn"
"complaint",15670,233,715.635,82,"active","non-churn"
"no complaint",6560,111,1438.695,35,"active","non-churn"
"no complaint",3313,77,135.6,30,"active","non-churn"
"no complaint",1260,39,131.96,22,"non-active","non-churn"
"no complaint",2375,48,815.535,25,"active","non-churn"
"no complaint",910,31,829.845,13,"active","non-churn"
"no complaint",1163,34,59.925,70,"active","non-churn"
"no complaint",295,20,12.6,9,"non-active","non-churn"
"no complaint",420,5,18.125,5,"non-active","non-churn"
"no complaint",820,27,42.615,15,"active","non-churn"
"no complaint",2820,56,115.04,25,"active","non-churn"
"no complaint",1290,21,103.995,16,"active","non-churn"
"no complaint",5987,136,577.035,44,"active","non-churn"
"no complaint",8527,166,212.895,42,"active","non-churn"
"no complaint",2447,40,151.48,21,"active","non-churn"
"no complaint",3985,35,948.8,12,"active","non-churn"
"complaint",1082,14,43.84,9,"active","churn"
"no complaint",4675,77,238.08,19,"active","non-churn"
"no complaint",623,11,81.36,6,"non-active","non-churn"
"no complaint",2758,66,1576.96,26,"active","non-churn"
"no complaint",4503,72,295.625,37,"active","non-churn"
"no complaint",2698,64,164.79,35,"active","non-churn"
"no complaint",4080,88,322.72,30,"active","non-churn"
"no complaint",2665,45,1276.4,20,"active","non-churn"
"no complaint",9420,127,985.88,45,"active","non-churn"
"no complaint",14078,175,598.12,46,"active","non-churn"
"no complaint",4820,89,232.36,27,"active","non-churn"
"no complaint",6223,101,308.96,14,"active","non-churn"
"no complaint",2543,60,164.12,19,"non-active","non-churn"
"no complaint",15445,231,871.04,34,"active","non-churn"
"no complaint",3400,33,2097.32,10,"active","non-churn"
"no complaint",15790,188,1425.51,32,"active","non-churn"
"no complaint",6805,92,1047.88,28,"active","non-churn"
"no complaint",1180,20,85.5,13,"non-active","non-churn"
"no complaint",1015,20,121.4,10,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7813,133,1881.84,45,"active","non-churn"
"no complaint",11770,160,343.25,49,"active","non-churn"
"no complaint",7023,81,837.18,39,"active","non-churn"
"complaint",1260,53,144.52,19,"non-active","churn"
"no complaint",10740,99,174.585,44,"active","non-churn"
"no complaint",6123,104,428.715,26,"active","non-churn"
"no complaint",3145,28,154.92,16,"active","non-churn"
"complaint",3295,47,197.68,18,"non-active","churn"
"no complaint",2573,50,168.075,33,"non-active","churn"
"no complaint",438,8,45.84,4,"non-active","churn"
"no complaint",1973,31,67.6,8,"active","non-churn"
"no complaint",7090,103,139.395,24,"active","non-churn"
"no complaint",933,13,63.65,6,"non-active","churn"
"no complaint",643,10,26.295,4,"active","non-churn"
"no complaint",16380,244,779.58,82,"active","non-churn"
"no complaint",7270,122,1407.68,35,"active","non-churn"
"no complaint",4023,88,200.44,30,"active","non-churn"
"no complaint",1970,50,260.8,22,"non-active","non-churn"
"no complaint",3085,59,960.48,25,"active","non-churn"
"no complaint",1620,42,866.48,13,"active","non-churn"
"no complaint",1873,45,84.27,70,"active","non-churn"
"no complaint",1005,31,109.44,9,"non-active","non-churn"
"no complaint",1130,16,98.65,5,"non-active","non-churn"
"no complaint",1530,38,187.56,15,"active","non-churn"
"no complaint",3530,67,203.88,25,"active","non-churn"
"no complaint",2000,32,221.28,16,"active","non-churn"
"no complaint",6697,147,721.98,44,"active","non-churn"
"no complaint",9237,177,261.21,42,"active","non-churn"
"no complaint",3157,51,280.32,21,"active","non-churn"
"no complaint",4695,46,1077.64,12,"active","non-churn"
"complaint",1792,25,100.68,9,"active","churn"
"no complaint",4675,77,238.08,19,"active","non-churn"
"no complaint",623,11,81.36,6,"non-active","non-churn"
"no complaint",2758,66,1576.96,26,"active","non-churn"
"no complaint",4503,72,295.625,37,"active","non-churn"
"no complaint",2698,64,164.79,35,"active","non-churn"
"no complaint",4080,88,322.72,30,"active","non-churn"
"no complaint",2665,45,1276.4,20,"active","non-churn"
"no complaint",9420,127,985.88,45,"active","non-churn"
"no complaint",14078,175,598.12,46,"active","non-churn"
"no complaint",4820,89,232.36,27,"active","non-churn"
"no complaint",6223,101,308.96,14,"active","non-churn"
"no complaint",2543,60,164.12,19,"non-active","non-churn"
"no complaint",15445,231,871.04,34,"active","non-churn"
"no complaint",3400,33,2097.32,10,"active","non-churn"
"no complaint",15790,188,1425.51,32,"active","non-churn"
"no complaint",6805,92,1047.88,28,"active","non-churn"
"no complaint",1180,20,85.5,13,"non-active","non-churn"
"no complaint",1015,20,121.4,10,"non-active","non-churn"
"no complaint",305,6,45.495,2,"non-active","churn"
"no complaint",7813,133,1881.84,45,"active","non-churn"
"no complaint",11770,160,343.25,49,"active","non-churn"
"no complaint",7023,81,837.18,39,"active","non-churn"
"complaint",1260,53,144.52,19,"non-active","churn"
"no complaint",10740,99,174.585,44,"active","non-churn"
"no complaint",6123,104,428.715,26,"active","non-churn"
"no complaint",3145,28,154.92,16,"active","non-churn"
"complaint",3295,47,197.68,18,"non-active","churn"
"complaint",2573,50,168.075,33,"non-active","churn"
"no complaint",438,8,45.84,4,"non-active","churn"
"no complaint",1973,31,67.6,8,"active","non-churn"
"no complaint",7090,103,139.395,24,"active","non-churn"
"complaint",933,13,63.65,6,"non-active","churn"
"no complaint",643,10,26.295,4,"active","non-churn"
"no complaint",16380,244,779.58,82,"active","non-churn"
"no complaint",7270,122,1407.68,35,"active","non-churn"
"no complaint",4023,88,200.44,30,"active","non-churn"
"no complaint",1970,50,260.8,22,"non-active","non-churn"
"no complaint",3085,59,960.48,25,"active","non-churn"
"no complaint",1620,42,866.48,13,"active","non-churn"
"no complaint",1873,45,84.27,70,"active","non-churn"
"no complaint",1005,31,109.44,9,"non-active","non-churn"
"no complaint",1130,16,98.65,5,"non-active","non-churn"
"no complaint",1530,38,187.56,15,"active","non-churn"
"no complaint",3530,67,203.88,25,"active","non-churn"
"no complaint",2000,32,221.28,16,"active","non-churn"
"no complaint",6697,147,721.98,44,"active","non-churn"
"no complaint",9237,177,261.21,42,"active","non-churn"
"no complaint",3157,51,280.32,21,"active","non-churn"
"no complaint",4695,46,1077.64,12,"active","non-churn"
"complaint",1792,25,100.68,9,"active","churn"
